CODIGO;NOMBRE_UNIVERSIDAD;TIPO_GESTION;DEPARTAMENTO_FILIAL;NOMBRE_FILIAL;CODIGO_CLASE_PROGRAMA;NOMBRE_CLASE_PROGRAMA;NOMBRE_PROGRAMA;ANIO_PERIODO;Cant_Carnes
1;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;PUBLICO;NO REGISTRADO;[NO ESPECIFICADO];1;SERVICIOS PERSONALES;ADMINISTRACION DE TURISMO;2018;7
1;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;PUBLICO;NO REGISTRADO;[NO ESPECIFICADO];2;SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL;INGENIERIA DE SEGURIDAD Y SALUD EN TRABAJO;2018;1
1;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;PUBLICO;NO REGISTRADO;[NO ESPECIFICADO];2;SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL;MAESTRIA PROFESIONAL EN PREVENCION DE RIESGOS LABORALES Y AMBIENTALES;2018;1
1;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;PUBLICO;NO REGISTRADO;[NO ESPECIFICADO];15;EDUCACIÓN FÍSICA;EDUCACION FISICA;2018;8
1;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;PUBLICO;NO REGISTRADO;[NO ESPECIFICADO];19;OTROS PROGRAMAS EN EDUCACIÓN;COMUNICACION SOCIAL;2018;16
1;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;PUBLICO;NO REGISTRADO;[NO ESPECIFICADO];19;OTROS PROGRAMAS EN EDUCACIÓN;EDUCACION;2018;7
1;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;PUBLICO;NO REGISTRADO;[NO ESPECIFICADO];19;OTROS PROGRAMAS EN EDUCACIÓN;MAESTRIA EN EDUCACION;2018;2
1;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;PUBLICO;NO REGISTRADO;[NO ESPECIFICADO];21;ARTE;ARTE;2018;4
1;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;PUBLICO;NO REGISTRADO;[NO ESPECIFICADO];21;ARTE;CONSERVACION Y RESTAURACION;2018;2
1;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;PUBLICO;NO REGISTRADO;[NO ESPECIFICADO];22;HUMANIDADES;ANTROPOLOGIA;2018;9
