fecha;NUMERO DE VIAJES (HOJA DE DISTRIB);REPARTO;UNIDAD;PUNTO DE PARTIDA;TIPO DE FLOTA (Propio o Tercero);PESO REQUERIDO;PESO ENTREGADO;PESO ENTREGADO A TIEMPO;NRO ENTREGAS EFECTUADAS (Nro Guias);NRO ENTREGAS RECHAZADAS (Nro Guias);CONSUMO D2;H. SALIDA;FLETE;H.INGRESO;TIEMPO REPARTO;KM INICIAL;KM FINAL;KM RECORRIDO (KM Inicial - KM Final);KM/GL;;;;;;;;;
01/09/2022;58065;LOCAL;DIP-028;Chiclayo, Perú;Propia;3634,00;3634,00;100%;6;0;1,743;8:45;S/ 1.051,75;13:05:00;4:20:00;91658;91696;38;21,81;;;;;;;;;
01/09/2022;58108;LOCAL;DIP-028;Chiclayo, Perú;Propia;1607,28;1607,28;100%;20;0;1,330;15:24;S/ 663,09;18:25:00;3:01:00;91696;91725;29;21,81;;;;;;;;;
01/09/2022;58075;LOCAL;AKM-892;Piura, Perú;Propia;7991,60;7192,30;90%;9;6;3,999;9:55;S/ 2.718,83;4:45:00;18:50:00;138358;138429;71;17,75;;;;;;;;;
01/09/2022;58128;LOCAL;AKM-892;Piura, Perú;Propia;0,00;0,00;0%;0;0;0,338;0:00;S/ 0,00;0:00:00;0:00:00;138429;138435;6;17,75;;;;;;;;;
01/09/2022;58074;LOCAL;SMG-875;Cajamarca, Perú;Propia;2375,60;2375,60;100%;15;0;2,916;9:42;S/ 867,56;13:29:00;3:47:00;58769;58801;32;10,97;;;;;;;;;
01/09/2022;58110;LOCAL;SMG-875;Cajamarca, Perú;Propia;2407,20;2360,20;98%;15;1;1,640;15:35;S/ 964,45;18:32:00;2:57:00;58801;58819;18;10,97;;;;;;;;;
01/09/2022;58148;LOCAL;SMG-875;Cajamarca, Perú;Propia;87,00;87,00;100%;1;0;0,091;18:40;S/ 39,15;0:00:00;5:20:00;58819;58820;1;10,97;;;;;;;;;
02/09/2022;58201;LOCAL;SMG-875;Lima, Perú;Propia;5600,00;5600,00;100%;5;0;4,647;8:46;S/ 1.540,01;12:23:00;3:37:00;58820;58871;51;10,97;;;;;;;;;
02/09/2022;58262;LOCAL;SMG-875;Callao, Perú;Propia;2796,65;2270,65;81%;21;4;3,189;15:51;S/ 941,69;19:13:00;3:22:00;58871;58906;35;10,97;;;;;;;;;
02/09/2022;58281;LOCAL;KLM-532;Arequipa, Perú;Propia;10800,00;10800,00;100%;1;0;22,663;16:56;S/ 5.075,99;20:45:00;3:49:00;559455;559483;28;1,24;;;;;;;;;
