account length;location code;user id;credit card info save;push status;add to wishlist;desktop sessions;app sessions;desktop transactions;total product detail views;session duration;promotion clicks;avg order value;sale product views;discount rate per visited products;product detail view per app session;app transactions;add to cart per session;customer service calls;churn
128;415;3824657;no;yes;25;265;45;17;110;197;87;244,7;91;11,01;10;3;2,7;1;0
107;415;3717191;no;yes;26;162;27;17;123;196;103;254,4;103;11,45;13,7;3;3,7;1;0
137;415;3581921;no;no;0;243;41;10;114;121;110;162,6;104;7,32;12,2;5;3,29;0;0
84;408;3759999;yes;no;0;299;51;5;71;62;88;196,9;89;8,86;6,6;7;1,78;2;0
75;415;3306626;yes;no;0;167;28;13;113;148;122;186,9;121;8,41;10,1;3;2,73;3;0
118;510;3918027;yes;no;0;223;38;19;98;221;101;203,9;118;9,18;6,3;6;1,7;0;0
121;510;3559993;no;yes;24;218;37;30;88;349;108;212,6;118;9,57;7,5;7;2,03;3;0
147;415;3299001;yes;no;0;157;27;9;79;103;94;211,8;96;9,53;7,1;6;1,92;0;0
117;408;3354719;no;no;0;185;31;30;97;352;80;215,8;90;9,71;8,7;4;2,35;1;0
141;415;3308173;yes;yes;37;259;44;19;84;222;111;326,4;97;14,69;11,2;5;3,02;0;0
65;415;3296603;no;no;0;129;22;19;137;229;83;208,8;111;9,4;12,7;6;3,43;4;1
74;415;3449403;no;no;0;188;32;14;127;163;148;196;94;8,82;9,1;5;2,46;0;0
168;408;3631107;no;no;0;129;22;9;96;105;71;141,1;128;6,35;11,2;2;3,02;1;0
95;510;3948006;no;no;0;157;27;21;88;248;75;192,3;115;8,65;12,3;5;3,32;3;0
62;415;3669238;no;no;0;121;21;26;70;307;76;203;99;9,14;13,1;6;3,54;4;0
161;415;3517269;no;no;0;333;57;27;67;318;97;160,6;128;7,23;5,4;9;1,46;4;1
85;408;3508884;no;yes;27;196;33;24;139;281;90;89,3;75;4,02;13,8;4;3,73;1;0
93;510;3862923;no;no;0;191;32;19;114;218;111;129,6;121;5,83;8,1;3;2,19;3;0
76;510;3562992;no;yes;33;190;32;18;66;213;65;165,7;108;7,46;10;5;2,7;1;0
73;415;3732782;no;no;0;224;38;14;90;160;88;192,8;74;8,68;13;2;3,51;1;0
147;415;3965800;no;no;0;155;26;20;117;240;93;208,8;133;9,4;10,6;4;2,86;0;0
77;408;3937984;no;no;0;62;11;14;89;170;121;209,6;64;9,43;5,7;6;1,54;5;1
130;415;3581958;no;no;0;183;31;6;112;73;99;181,8;78;8,18;9,5;19;2,57;0;0
111;415;3502565;no;no;0;110;19;12;103;137;102;189,6;105;8,53;7,7;6;2,08;2;0
132;510;3434696;no;no;0;81;14;21;86;245;72;237;115;10,67;10,3;2;2,78;0;0
174;415;3313698;no;no;0;124;21;24;76;277;112;250,7;115;11,28;15,5;5;4,19;3;0
57;408;3573817;no;yes;39;213;36;16;115;191;112;182,7;115;8,22;9,5;3;2,57;0;0
54;408;4186412;no;no;0;134;23;13;73;156;100;102,1;68;4,59;14,7;4;3,97;3;0
20;415;3532630;no;no;0;190;32;22;109;258;84;181,5;102;8,17;6,3;6;1,7;0;0
49;510;4107789;no;no;0;119;20;18;117;215;109;178,7;90;8,04;11,1;1;3;1;0
142;415;4168428;no;no;0;85;14;12;95;137;63;250,5;148;11,27;14,2;6;3,83;2;0
75;510;3703359;no;no;0;226;38;17;105;202;107;246,2;98;11,08;10,3;5;2,78;1;0
172;408;3831121;no;no;0;212;36;3;121;31;115;293,3;78;13,2;12,6;10;3,4;3;0
12;408;3601596;no;no;0;250;42;21;118;252;119;280,2;90;12,61;11,8;3;3,19;1;1
